timestamp;vin;isOnline;signature;acc_x;acc_y;acc_z;pos_long;pos_lat;process;01 10_fluxo de massa de ar (MAF)_g/s;01 0D_velocidade_Km/h;01 0B_pressao absoluta do coletor de admissao_kPa;01 0F_temperatura do ar de entrada_Â°C;01 0F_Temperatura do liquido de arrefecimento_Â°C;01 2F_nivel de combustivel_%;01 0C_rotacao_RPM;vehicle_speed;coolant_temp;engine_rpm;fuel_rail_pressure;intake_air_temp;intake_manifold_pressure;mass_air_flow;barometric_pressure;calculated_load_value;distance_traveled_since_dtcs_cleared;distance_traveled_while_mil_activated;engine_run_time_while_mil_activated;ignition_timing_advance;input_voltage;number_of_warm_ups;obd_requirements;co2_flow;fuel_rate;instant_co2_rate;instant_fuel_economy
06:10:11.176;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
06:10:12.119;;;;;;;;;;;;;;;;;14.0;67.0;1076.0;88230.0;33.0;110.0;0.0;101.0;79.60784;53705.0;24260.0;51290.0;1.5;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:12.672;;;;;;;;;;;;;;;;;17.0;67.0;1317.0;103180.0;33.0;120.0;0.0;101.0;77.25491;53705.0;24260.0;51290.0;1.5;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:13.129;;;;;;;;;;;;;;;;;21.0;67.0;1504.0;102690.0;33.0;126.0;0.0;101.0;58.43137;53705.0;24260.0;51290.0;1.5;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:13.554;;;;;;;;;;;;;;;;;22.0;67.0;1578.0;102450.0;33.0;128.0;0.0;101.0;49.01961;53705.0;24260.0;51290.0;2.0;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:14.058;;;;;;;;;;;;;;;;;23.0;67.0;1640.0;104650.0;33.0;127.0;0.0;101.0;50.19608;53705.0;24260.0;51290.0;2.0;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:14.500;;;;;;;;;;;;;;;;;24.0;67.0;1677.0;103180.0;33.0;125.0;0.0;101.0;20.39216;53705.0;24260.0;51290.0;2.0;28.5;255.0;15.0;0.0;0.0;0.0;0.0
06:10:14.958;;;;;;;;;;;;;;;;;24.0;67.0;1661.0;73280.0;33.0;118.0;0.0;101.0;0.0;53705.0;24260.0;51290.0;1.5;28.5;255.0;15.0;0.0;0.0;0.0;0.0
06:10:15.399;;;;;;;;;;;;;;;;;23.0;67.0;1439.0;58820.0;33.0;115.0;0.0;101.0;40.0;53705.0;24260.0;51290.0;2.0;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:15.918;;;;;;;;;;;;;;;;;23.0;67.0;1148.0;88480.0;33.0;115.0;0.0;101.0;96.47059;53705.0;24260.0;51290.0;0.5;28.4;255.0;15.0;0.0;0.0;0.0;0.0
06:10:16.392;;;;;;;;;;;;;;;;;25.0;67.0;1187.0;99260.0;33.0;121.0;0.0;101.0;97.64706;53705.0;24260.0;51290.0;1.0;28.3;255.0;15.0;0.0;0.0;0.0;0.0
06:10:16.838;;;;;;;;;;;;;;;;;27.0;67.0;1258.0;105140.0;33.0;128.0;0.0;101.0;85.4902;53705.0;24260.0;51290.0;1.5;28.3;255.0;15.0;0.0;0.0;0.0;0.0
