timestamp;vehicle_speed;coolant_temp;engine_rpm;fuel_rail_pressure;intake_air_temp;intake_manifold_pressure;mass_air_flow;barometric_pressure;calculated_load_value;distance_traveled_since_dtcs_cleared;distance_traveled_while_mil_activated;engine_run_time_while_mil_activated;ignition_timing_advance;input_voltage;number_of_warm_ups;obd_requirements;co2_flow;fuel_rate;instant_co2_rate;instant_fuel_economy
16:30:03.616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16:30:04.467;2;0;749;40930;0;98;0;100;18.82353;0;0;0;1.5;28.4;0;0;0;0;0;0
16:30:05.018;2;48;750;40930;40;98;0;100;25.88235;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:05.478;1;48;786;41910;40;97;0;100;20.39216;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:05.919;2;48;777;41660;40;98;0;100;22.35294;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:06.440;2;48;775;41910;40;98;0;100;22.35294;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:06.882;2;48;777;41170;40;98;0;100;22.7451;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:07.339;3;48;761;41170;40;98;0;100;18.43137;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:07.781;3;48;753;39950;40;98;0;100;19.21569;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:08.299;3;48;750;40190;40;98;0;100;18.43137;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:08.740;3;48;750;40680;40;98;0;100;18.43137;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:09.197;3;48;755;40680;40;98;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:09.638;3;48;752;40440;40;98;0;100;16.86275;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:10.158;3;48;749;41420;40;98;0;100;16.86275;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:10.598;3;48;751;41420;40;97;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:11.056;3;48;749;40190;40;97;0;100;18.03922;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:11.511;3;48;747;41660;40;98;0;100;18.82353;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:12.014;2;48;746;41420;40;98;0;100;18.43137;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:12.439;2;48;751;41420;40;98;0;100;18.03922;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:12.895;2;48;751;40930;40;97;0;100;17.2549;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:13.353;1;48;752;40930;40;97;0;100;18.82353;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:14.186;0;48;746;41170;40;97;0;100;18.03922;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:14.738;1;48;750;41170;40;98;0;100;18.43137;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:15.194;0;48;753;41170;40;98;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:15.619;0;48;755;40680;40;97;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:16.139;0;48;753;41170;40;97;0;100;16.86275;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:16.578;1;48;751;40680;40;97;0;100;16.86275;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:17.034;1;48;750;40680;40;97;0;100;17.2549;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:17.459;0;48;747;40190;40;97;0;100;19.21569;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:17.979;1;48;746;41170;40;98;0;100;19.21569;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:18.419;1;48;746;40680;40;98;0;100;20;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:18.875;0;48;750;41910;40;98;0;100;19.21569;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:19.300;1;48;755;40440;40;98;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:19.819;0;48;756;39950;40;97;0;100;17.64706;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:20.260;1;48;747;40680;40;98;0;100;18.43137;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:20.715;0;48;750;40190;40;97;0;100;17.64706;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:21.140;0;48;752;40680;40;97;0;100;18.03922;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:21.659;0;48;753;40930;40;98;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:22.099;0;48;752;41170;40;98;0;100;17.2549;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:22.555;0;48;751;41420;40;98;0;100;17.64706;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:22.980;0;48;750;41420;40;98;0;100;18.03922;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:23.814;0;48;750;41420;40;97;0;100;16.86275;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:24.365;0;48;750;40930;40;97;0;100;18.82353;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:24.822;0;48;792;43130;40;97;0;100;23.13725;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:25.263;0;48;791;42640;40;97;0;100;24.31373;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:25.783;0;48;777;42890;40;98;0;100;27.84314;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:26.224;0;48;772;42890;40;98;0;100;29.01961;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:26.679;0;48;772;43620;40;98;0;100;28.62745;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:27.120;0;48;765;41420;40;98;0;100;15.29412;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:27.637;0;48;740;40680;40;98;0;100;20.78431;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:28.078;0;48;732;41660;40;98;0;100;27.05882;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:28.535;0;48;732;41910;40;98;0;100;27.45098;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:29.007;0;48;741;42890;40;98;0;100;26.27451;65535;58765;65535;1.5;28.2;255;15;0;0;0;0
16:30:29.497;0;48;748;42890;40;98;0;100;26.66667;65535;58765;65535;1.5;28.2;255;15;0;0;0;0
16:30:29.939;0;48;752;42150;40;98;0;100;21.56863;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:30.397;0;48;767;41910;40;98;0;100;20.39216;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:30.838;1;48;752;42150;40;98;0;100;22.7451;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:31.357;1;48;752;41660;40;98;0;100;18.82353;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:31.812;1;48;765;40930;40;98;0;100;17.64706;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:32.269;1;48;753;41910;40;98;0;100;19.21569;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:32.694;1;48;745;41420;40;98;0;100;20.78431;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:33.543;1;48;745;42150;40;98;0;100;21.17647;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:34.094;1;48;747;41910;40;98;0;100;20.39216;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:34.550;1;48;743;41420;40;98;0;100;21.56863;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:35.006;1;48;746;40440;40;98;0;100;22.35294;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:35.508;1;48;749;41910;40;98;0;100;22.35294;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:35.932;1;48;748;41910;40;98;0;100;23.13725;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:36.389;1;48;749;42400;40;98;0;100;22.35294;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:36.799;2;48;755;41420;40;98;0;100;21.17647;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:37.318;2;48;749;41170;40;98;0;100;20.78431;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:37.774;2;48;763;40930;40;98;0;100;16.86275;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:38.230;2;48;760;39950;40;98;0;100;16.47059;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:38.655;2;48;755;41170;40;98;0;100;16.47059;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:39.160;2;48;752;40190;40;97;0;100;16.86275;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:39.600;2;48;750;40190;40;98;0;100;16.47059;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:40.057;1;48;750;40680;40;97;0;100;18.82353;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:40.527;1;48;741;40680;40;98;0;100;20.39216;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:41.031;1;48;743;41660;40;98;0;100;20.78431;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:41.473;1;48;743;40680;40;98;0;100;21.96078;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:41.914;1;48;744;41910;40;98;0;100;24.31373;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:42.340;1;48;716;42400;40;98;0;100;36.86274;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:43.204;3;48;714;45580;40;98;0;100;26.66667;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:43.754;2;49;797;40190;40;98;0;100;14.90196;65535;58765;65535;2;28.3;255;15;0;0;0;0
16:30:44.209;2;49;755;41170;40;98;0;100;16.07843;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:44.634;2;49;754;40930;40;98;0;100;16.47059;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:45.136;1;49;751;40930;40;98;0;100;15.29412;65535;58765;65535;1.5;28.3;255;15;0;0;0;0
16:30:45.562;0;49;754;40680;40;97;0;100;15.68627;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:46.017;0;49;751;40190;40;97;0;100;15.29412;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:46.472;0;49;749;40680;40;97;0;100;16.07843;65535;58765;65535;1.5;28.4;255;15;0;0;0;0
16:30:46.992;0;49;749;44850;40;97;0;100;19.21569;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:47.448;0;49;807;41420;40;97;0;100;17.64706;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:47.888;0;49;812;42150;40;97;0;100;29.41176;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:48.345;0;49;862;48030;40;97;0;100;25.4902;65535;58765;65535;2.5;28.3;255;15;0;0;0;0
16:30:48.864;0;49;904;43620;40;97;0;100;24.70588;65535;58765;65535;2.5;28.3;255;15;0;0;0;0
16:30:49.306;1;49;894;44110;40;98;0;100;25.4902;65535;58765;65535;2.5;28.4;255;15;0;0;0;0
16:30:49.761;2;49;862;41910;40;98;0;100;21.17647;65535;58765;65535;2;28.4;255;15;0;0;0;0
16:30:50.202;3;49;802;40190;40;98;0;100;19.21569;65535;58765;65535;2.5;28.3;255;15;0;0;0;0
16:30:50.721;3;49;835;41660;40;98;0;100;17.64706;65535;58765;65535;2.5;28.3;255;15;0;0;0;0
16:30:51.162;3;49;835;40930;40;98;0;100;20;65535;58765;65535;2.5;28.4;255;15;0;0;0;0
